"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "HTML", "TypeScript", "Less", "XML", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\technology\technology.component.ts", "TypeScript", 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 2, 11, 113
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\texture\texture.component.html", "HTML", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 49, 1, 151
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\texture\texture.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 1, 8, 44
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\texture\texture.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\texture\texture.component.ts", "TypeScript", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 15, 16, 147
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\allorder\allorder.component.html", "HTML", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 6, 1, 79
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\allorder\allorder.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 1, 8, 44
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\allorder\allorder.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\allorder\allorder.component.ts", "TypeScript", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 1, 5, 62
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\client\client.component.html", "HTML", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 49, 1, 150
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\client\client.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 6, 32
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\client\client.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\client\client.component.ts", "TypeScript", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 1, 7, 86
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\clientprice\clientprice.component.html", "HTML", 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 9, 1, 146
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\clientprice\clientprice.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 1, 8, 44
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\clientprice\clientprice.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\clientprice\clientprice.component.ts", "TypeScript", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 6, 10, 90
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\ordereditor\ordereditor.component.html", "HTML", 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 8, 1, 184
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\ordereditor\ordereditor.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 1, 9, 48
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\ordereditor\ordereditor.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\ordereditor\ordereditor.component.ts", "TypeScript", 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 13, 138
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\ordertypein\ordertypein.component.html", "HTML", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 1, 1, 99
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\ordertypein\ordertypein.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 1, 8, 44
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\ordertypein\ordertypein.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\ordertypein\ordertypein.component.ts", "TypeScript", 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 2, 18, 193
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\producteditor\producteditor.component.html", "HTML", 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 53, 1, 247
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\producteditor\producteditor.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\producteditor\producteditor.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\producteditor\producteditor.component.ts", "TypeScript", 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 27, 20, 192
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\sales-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\sales.module.ts", "TypeScript", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 4, 72
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\dashboard\dashboard.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\dashboard\dashboard.component.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\exception\exception-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\exception\exception.component.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
